timestamp px py pz qx qy qz qw
1532199878.230884075 0.283060726 1.245585146 2.430109907 -0.152859664 0.132151608 -0.057059056 0.977708617
1532199878.428282261 0.285534070 1.250170250 2.440189821 -0.151497928 0.137505768 -0.053015314 0.977409801
1532199878.479142904 0.287405694 1.251375624 2.442767844 -0.151436108 0.138386559 -0.051181697 0.977392807
1532199878.527977467 0.290128058 1.253758214 2.446376640 -0.151697957 0.139405996 -0.049721213 0.977282712
1532199878.578881025 0.294201115 1.253664605 2.446284667 -0.151979366 0.141443820 -0.048955030 0.976984812
1532199878.676502943 0.302081111 1.254608765 2.447923592 -0.152141630 0.149887113 -0.047674507 0.975763250
1532199878.727412701 0.308396486 1.257713981 2.447036059 -0.151958623 0.156375505 -0.046620102 0.974824007
1532199878.776254892 0.313986201 1.257358432 2.444793419 -0.151917437 0.162717759 -0.046502730 0.973797474
1532199878.875945330 0.322160611 1.256986135 2.440548918 -0.153365665 0.171503194 -0.047177308 0.972028770
1532199879.223889351 0.334678482 1.259040003 2.437984041 -0.164228642 0.172912954 -0.041757200 0.970250689
1532199879.272734880 0.334970966 1.257916542 2.441685869 -0.164511353 0.173442934 -0.041273842 0.970128875
1532199879.323601007 0.339085481 1.254856627 2.442645967 -0.163563502 0.175338494 -0.040304829 0.969989131
1532199879.372441292 0.342561193 1.252871972 2.442796466 -0.162384681 0.178804795 -0.038969868 0.969608895
1532199879.423305273 0.351709328 1.253467108 2.449913903 -0.161542517 0.183071911 -0.037662779 0.969004750
1532199879.620746613 0.361115939 1.252527983 2.466338046 -0.161632643 0.189051663 -0.038185161 0.967820361
1532199879.771402836 0.358397504 1.260529686 2.483970978 -0.167840840 0.187939687 -0.045636952 0.966656814
1532199880.019834995 0.359655634 1.262371629 2.515003766 -0.172586499 0.193775129 -0.055110792 0.964172132
1532199880.117595911 0.355251007 1.262877906 2.532271494 -0.171002754 0.194060614 -0.055793955 0.964357595
1532199880.217361450 0.355485919 1.262384573 2.547060426 -0.169915017 0.192394008 -0.057378067 0.964790749
1532199880.268247366 0.356738006 1.263265263 2.554513380 -0.169937011 0.191587911 -0.058948978 0.964852581
1532199880.317110538 0.356804337 1.262278153 2.560902824 -0.170270104 0.190474604 -0.060908832 0.964892549
1532199880.367998362 0.356175573 1.260867529 2.568053597 -0.170413633 0.188939247 -0.063150896 0.965024932
1532199880.813774824 0.369796106 1.254209481 2.622345098 -0.160920376 0.202339755 -0.071728970 0.963337018
1532199880.962332487 0.373319023 1.260604785 2.648695293 -0.165445335 0.206817091 -0.070199159 0.961731049
1532199881.112903357 0.373268959 1.266361260 2.674985063 -0.169178979 0.201855095 -0.069487281 0.962187358
1532199881.212626696 0.372390215 1.269300363 2.694815528 -0.171349146 0.196882359 -0.070165466 0.962784303
1532199881.609468460 0.374348810 1.285328223 2.746356270 -0.171719604 0.172269685 -0.077204412 0.966889348
1532199881.658310890 0.375244737 1.290016580 2.758443886 -0.174903115 0.170626708 -0.080122658 0.966372489
1532199881.709170818 0.376375478 1.294915965 2.764632139 -0.178064685 0.168654299 -0.083052839 0.965893846
1532199881.957453489 0.385879504 1.309203982 2.796387641 -0.187154848 0.158830550 -0.099226548 0.964313233
1532199882.006300926 0.390941354 1.312727747 2.802691817 -0.187707722 0.158208578 -0.102577901 0.963957277
1532199882.057163477 0.396870341 1.314139142 2.804762237 -0.187910039 0.158522548 -0.106527008 0.963437811
1532199882.106019258 0.402915454 1.315518998 2.802002640 -0.187990589 0.160408960 -0.110712295 0.962637674
1532199882.154866695 0.409670393 1.317581521 2.801827101 -0.188196994 0.163191225 -0.115052716 0.961620189
1532199882.205743313 0.415433164 1.319166951 2.802183169 -0.188503387 0.166729633 -0.119906040 0.960359435
1532199882.254590034 0.421210700 1.319885890 2.801360602 -0.188307399 0.170385620 -0.124164661 0.959214366
1532199882.305452108 0.428530169 1.320735533 2.800921364 -0.187721016 0.174235966 -0.127915277 0.958144212
1532199882.354301691 0.434102265 1.320789404 2.798705296 -0.186677011 0.177855539 -0.130871549 0.957283520
1532199882.454005957 0.444991863 1.322002787 2.793980157 -0.184022745 0.185579962 -0.134813911 0.955782882
1532199882.702205896 0.455942794 1.328496063 2.783148449 -0.184463512 0.201730435 -0.137622085 0.952017965
1532199883.198721170 0.445245259 1.352781837 2.809381976 -0.187739827 0.201595872 -0.107727353 0.955252678
1532199883.398118734 0.443971040 1.378756826 2.839087816 -0.191071968 0.189931839 -0.106852437 0.957078866
1532199883.497804880 0.445218442 1.384495936 2.848279362 -0.193771259 0.185304900 -0.109910441 0.957096906
1532199884.391185999 0.423546834 1.460686585 2.970041095 -0.214657342 0.122803717 -0.086056318 0.965109208
1532199884.440053701 0.426768149 1.464778024 2.981597666 -0.215274860 0.119537866 -0.085745421 0.965409321
1532199884.490940809 0.425570554 1.466656815 2.988502079 -0.215467775 0.116920058 -0.085904550 0.965672691
1532199884.539794922 0.429219059 1.468375181 2.992465907 -0.214961019 0.114858727 -0.086210132 0.966005717
1532199884.590636015 0.430238628 1.475018991 2.995514772 -0.214336394 0.112999454 -0.086820499 0.966309078
1532199885.335263014 0.476814218 1.544049795 3.067363871 -0.213815014 0.091850575 -0.107763763 0.966557594
1532199885.434945107 0.486099254 1.552774279 3.074321072 -0.220719440 0.093545164 -0.102295426 0.965436625
1532199885.483770847 0.493769345 1.554891422 3.079399563 -0.224531271 0.094528199 -0.099174535 0.964787303
1532199885.534629583 0.495120966 1.564635068 3.083086558 -0.228117901 0.095720564 -0.095852912 0.964163895
1532199885.632292986 0.503620539 1.569668612 3.093375668 -0.233648474 0.097825258 -0.090299234 0.963163879
1532199885.683136463 0.503280847 1.569027113 3.096515039 -0.235738888 0.098738186 -0.087616856 0.962809033
1532199887.023805618 0.605865988 1.671739666 3.299260263 -0.231546922 0.052397374 -0.066694906 0.969119357
1532199887.272111654 0.628371165 1.688254581 3.326489944 -0.229934796 0.048759693 -0.062319957 0.969983868
1532199887.620256424 0.666636027 1.724455626 3.373373564 -0.227646081 0.026767558 -0.067531445 0.971030516
1532199887.868642807 0.710385904 1.745915421 3.406960829 -0.224773582 0.017210775 -0.059527278 0.972438753
1532199887.917501450 0.709822652 1.748525677 3.413014325 -0.223703813 0.016428077 -0.056892899 0.972856578
1532199888.068126440 0.737726161 1.758147947 3.433961991 -0.220224423 0.012906909 -0.047753544 0.974194136
1532199888.664733171 0.837367297 1.805320114 3.542926010 -0.200937386 0.017045604 -0.030844312 0.978969991
1532199888.913079262 0.882182924 1.822129644 3.585171829 -0.183048288 0.025089561 -0.040134198 0.981963892
1532199889.409654140 0.968083831 1.857788310 3.648713821 -0.165540999 0.036515599 -0.065179711 0.983368900
1532199889.706757307 1.030861796 1.878871043 3.693884204 -0.158067457 0.051561782 -0.074906696 0.983231940
1532199889.955034018 1.082711660 1.899988129 3.725724252 -0.150996253 0.080165255 -0.077732054 0.982207407
1532199890.154381037 1.118106689 1.917681349 3.735237081 -0.149241732 0.103949944 -0.073761589 0.980551142
1532199890.353754044 1.141616104 1.939514143 3.751202449 -0.154379284 0.116960283 -0.068401936 0.978676915
1532199890.502246380 1.146395034 1.956883935 3.782621547 -0.157218261 0.116832841 -0.065097247 0.978465561
1532199891.049487114 1.122257565 2.003409687 3.863552728 -0.159045899 0.048895698 -0.078200163 0.982953889
1532199891.147122383 1.118248221 2.013897743 3.881756385 -0.167540027 0.033909113 -0.076382191 0.982316788
1532199891.743155241 1.104268720 2.068552730 3.981548077 -0.212746794 -0.032758443 -0.034074487 0.975963429
1532199892.239583731 1.175572924 2.082253515 4.026174221 -0.205708097 -0.047531378 -0.003639073 0.977451638
1532199892.786775589 1.208418416 2.091610364 4.059900003 -0.205042564 -0.049616779 0.013528473 0.977400994
1532199893.234330416 1.211637464 2.088372293 4.106495310 -0.219420651 -0.054499114 -0.002706235 0.974103229
1532199893.631000519 1.203169272 2.070993312 4.161626775 -0.231880610 -0.072218985 -0.026198592 0.969705849
1532199894.027673721 1.188907605 2.052774783 4.230174740 -0.235188391 -0.089141149 -0.049571077 0.966583149
1532199894.226980209 1.178488841 2.043709576 4.261620010 -0.233741799 -0.102249179 -0.054491930 0.965370658
1532199894.475154877 1.167993179 2.041877808 4.300034130 -0.239802602 -0.117876030 -0.048475747 0.962418857
1532199894.623633623 1.165822223 2.046736170 4.322444926 -0.248924332 -0.122170904 -0.043184799 0.959815618
1532199894.871775389 1.162707884 2.060854759 4.365743899 -0.263096162 -0.134031703 -0.033834806 0.954814704
1532199895.071080685 1.164845066 2.073890624 4.405649120 -0.264987085 -0.141037590 -0.025907164 0.953529791
1532199895.270420074 1.163811411 2.086858552 4.446499363 -0.264840917 -0.147508199 -0.015930320 0.952809973
1532199895.915296078 1.159056960 2.125366230 4.581590811 -0.264650400 -0.194265416 -0.007430668 0.944545340
1532199896.063807726 1.155056276 2.133472088 4.616670166 -0.263112792 -0.200457701 -0.003164069 0.943704592
1532199896.214339733 1.152335251 2.138252523 4.647885725 -0.260266406 -0.208456522 0.002713799 0.942761853
1532199896.362838984 1.149315725 2.143881300 4.678472829 -0.257233561 -0.216262013 0.006784489 0.941815060
1532199896.710681915 1.133048763 2.169808490 4.731313046 -0.259629966 -0.241971235 0.000671908 0.934902001
1532199896.859194994 1.125931765 2.179469456 4.761455690 -0.258943920 -0.255531926 -0.005884228 0.931459531
1532199897.107461691 1.106593557 2.196273354 4.810319379 -0.246296326 -0.282854274 -0.016999435 0.926845510
