Left [ns] , Right [ns] , Common [ns]
1579097796819618300,1579097796819700000,1579097796819659264
1579097796886844800,1579097796886926500,1579097796886885632
1579097796954042400,1579097796954124200,1579097796954083328
1579097797019224200,1579097797019306000,1579097797019265024
1579097797086431100,1579097797086512900,1579097797086471936
1579097797153644500,1579097797153726300,1579097797153685504
1579097797218829500,1579097797218911300,1579097797218870272
1579097797286018500,1579097797286100300,1579097797286059520
1579097797353204700,1579097797353286500,1579097797353245696
1579097797420437600,1579097797420519300,1579097797420478464
1579097797485578200,1579097797485660000,1579097797485619200
1579097797552820300,1579097797552902000,1579097797552861184
1579097797620015200,1579097797620097000,1579097797620056064
1579097797685183900,1579097797685265700,1579097797685224704
1579097797752372800,1579097797752454600,1579097797752413696
1579097797819568200,1579097797819650000,1579097797819609088
1579097797886735500,1579097797886817300,1579097797886776320
1579097797951871700,1579097797951953500,1579097797951912704
1579097798019041600,1579097798019123400,1579097798019082496
1579097798086216300,1579097798086298100,1579097798086257152
1579097798151371300,1579097798151453100,1579097798151412224
1579097798218534600,1579097798218616400,1579097798218575616
1579097798285678600,1579097798285760500,1579097798285719552
1579097798352869000,1579097798352950800,1579097798352909824
1579097798417953800,1579097798418035600,1579097798417994752
1579097798485134200,1579097798485216100,1579097798485175040
1579097798552286000,1579097798552367800,1579097798552326912
1579097798617422300,1579097798617504200,1579097798617463296
1579097798684578200,1579097798684660100,1579097798684619264
1579097798751736500,1579097798751818400,1579097798751777536
1579097798818904100,1579097798818985900,1579097798818945024
1579097798884045800,1579097798884127700,1579097798884086784
1579097798951208400,1579097798951290300,1579097798951249408
1579097799018353700,1579097799018435600,1579097799018394624
1579097799083490000,1579097799083571900,1579097799083531008
1579097799150659900,1579097799150741800,1579097799150700800
1579097799217836200,1579097799217918000,1579097799217876992
1579097799285053800,1579097799285135700,1579097799285094656
1579097799350161200,1579097799350243000,1579097799350202112
1579097799417367600,1579097799417449400,1579097799417408512
1579097799484536000,1579097799484617900,1579097799484577024
1579097799549663800,1579097799549745600,1579097799549704704
1579097799616835800,1579097799616917700,1579097799616876800
1579097799683997500,1579097799684079400,1579097799684038400
1579097799751172800,1579097799751254700,1579097799751213824
1579097799816312300,1579097799816394200,1579097799816353280
1579097799883493500,1579097799883575300,1579097799883534336
1579097799950668300,1579097799950750200,1579097799950709248
1579097800015818100,1579097800015900000,1579097800015858944
1579097800082978300,1579097800083060200,1579097800083019264
1579097800150124200,1579097800150206100,1579097800150165248
1579097800217321300,1579097800217403200,1579097800217362176
1579097800282417800,1579097800282499700,1579097800282458624
1579097800349610400,1579097800349692300,1579097800349651456
1579097800416757000,1579097800416838900,1579097800416797952
1579097800481896700,1579097800481978600,1579097800481937664
1579097800549060400,1579097800549142300,1579097800549101312
1579097800616218400,1579097800616300300,1579097800616259328
